ref	txt
BERAKOTH_chapter_2_3	"He whose dead lies unburied before him is exempt from reciting the Shema, from saying the Tefillah and from wearing phylacteries. They that bear the bier and they that relieve them, and they that relieve these, they that go before and they that follow after the bier—they that are needful for the bier are exempt, but they that are not needful are not exempt [from reciting the Shema]. Both alike are exempt from saying the Tefillah."
BERAKOTH_chapter_2_4	"When they have buried the dead and returned, if they can begin [the Shema] and finish it before reaching the Row they begin it; but if they can not, they do not begin it. Of them that stand in the Row, they of the inner line are exempt [from reciting the Shema] but they of the outer line are not exempt."
BERAKOTH_chapter_2_5	"Women and slaves and minors are exempt from reciting the Shema and from wearing phylacteries, but they are not exempt from saying the Tefillah, from the law of the Mezuzah or from saying the Benediction after meals."
BERAKOTH_chapter_2_6	He that has suffered a pollution should ponder [over the Shema] in his heart but he may say no Benediction before it or after it. Over a meal he should say the Benediction which follows after but not that which goes before. R. Judah says: He should say both the Benediction which goes before and the Benediction which follows after.
BERAKOTH_chapter_2_7	"If he was standing during the Tefillah and then remembered that he had suffered a pollution he should not break off [his prayer] but he must shorten it. If he went down to immerse himself and, before sunrise, had time to come up, clothe himself and recite [the Shema], he may come up, clothe himself and recite it; but if not, he must remain covered with water and recite it. But he must not remain covered with foul water or water used for soaking [flax], unless he had poured [clean] water therein. And [when a man recites the Shema] how far should he go apart from it and from excrement? Four cubits."
BERAKOTH_chapter_2_8	"If a man with flux suffered a pollution, or if a menstruant discharged semen, or if a woman suffered a flow during intercourse, they must immerse themselves. R. Judah pronounces them exempt."
BERAKOTH_chapter_2_9	The morning Tefillah [may be said any time] until midday. R. Judah says: Until the fourth hour. The afternoon Tefillah [may be said any time] until sunset. R. Judah says: Until midway through the afternoon. The evening Tefillah has no set time; and the Additional Tefillah [may be said] any time during the day. R. Judah says: Until the seventh hour.
BERAKOTH_chapter_3_0	"R. Nehunya b. ha-Kanah used to pray a short prayer when he entered the House of Study and when he came forth. They said to him, What is the nature of this prayer? He replied, When I enter I pray that no offence shall happen through me, and when I come forth I give thanks for my lot."
BERAKOTH_chapter_3_1	"Rabban Gamaliel says: A man should pray the Eighteen [Benedictions] every day. R. Joshua says: The substance of the Eighteen. R. Akiba says: If his prayer is fluent in his mouth he should pray the Eighteen, but if not, the substance of the Eighteen."
BERAKOTH_chapter_3_2	"R. Eliezer says: He that makes his prayer a fixed task, his prayer is no supplication. R. Joshua says: He that journeys in a place of danger should pray a short prayer, saying, Save, O Lord, the remnant of Israel; at their every cross-road let their needs come before thee. Blessed art thou, O Lord, that hearest prayer!"
BERAKOTH_chapter_3_3	"If he was riding on an ass he should dismount [to say the Tefillah]. If he cannot dismount he should turn his face [toward Jerusalem]; and if he cannot turn his face, he should direct his heart toward the Holy of Holies."
BERAKOTH_chapter_3_4	If he was journeying on a ship or a raft he should direct his heart toward the Holy of Holies.
BERAKOTH_chapter_3_5	R. Eleazar b. Azariah says: The additional Tefillah may be said only with the local congregation. But the Sages say: Either with the local congregation or without them. R. Judah says in his name: Wheresoever there is a local congregation the individual is exempt from saying the Additional Tefillah.
BERAKOTH_chapter_3_6	"None may stand up to say the Tefillah save in sober mood. The pious men of old used to wait an hour before they said the Tefillah, that they might direct their heart toward God. Even if the king salutes a man he may not return the greeting; and even if a snake was twisted around his heel he may not interrupt his prayer."
BERAKOTH_chapter_3_7	"We make mention of the Power of Rain in [the Benediction] the Resurrection of the Dead, and we pray for rain in the Benediction The Years, and [we make mention of] Habdalah in [the Benediction] Thou favourest man with knowledge. R. Akiba says: This [last] should be said as a fourth Benediction by itself. R. Eliezer says: Together with the Thanksgiving."
BERAKOTH_chapter_3_8	"If a man said [in his prayer], To a birds nest do thy mercies extend, or May thy name be remembered for the good [which thou hast wrought], or We give thanks, we give thanks, they put him to silence. If a man went before the Ark and fell into error, another must take his place: none may decline at such a time. Where does he begin? At the beginning of the Benediction in which the other fell into error."
BERAKOTH_chapter_3_9	"He that goes before the Ark should not answer Amen after [the Benediction of] the Priests for fear of confusion. Even if there is no priest there save himself he should not lift up his hands [in the Benediction of the Priests]; yet if he is assured that he can lift up his hands and return to the Tefillah, he may do so."
BERAKOTH_chapter_4_0	"If he that says the Tefillah falls into error it is a bad omen for him; and if he was the agent of the congregation it is a bad omen for them that appointed him, because a mans agent is like to himself. They tell of R. Hanina b. Dosa that he used to pray over the sick and say, This one will live, or This one will die. They said to him, How knowest thou? He replied, If my prayer is fluent in my mouth I know that he is accepted; and if it is not I know that he is rejected."
BERAKOTH_chapter_4_1	"What Benediction do they say over fruits? Over the fruit of trees a man says, [Blessed art thou …] who createst the fruit of the tree, except over wine, for over wine a man says … who createst the fruit of the vine. Over the fruits of the earth a man says, … who createst the fruit of the ground, except over bread, for over bread a man says … who bringest forth bread from the earth. And over vegetables a man says, … who createst the fruit of the ground; but R. Judah says, … who createst divers kinds of herbs."
BERAKOTH_chapter_4_2	"If over the fruits of trees he said the Benediction [Blessed art thou …] who createst the fruit of the ground, he has fulfilled his obligation; but if over the fruits of the earth he said, … who createst the fruit of the tree, he has not fulfilled his obligation. If over them all he said, [Blessed art thou …] by whose word all things exist, he has fulfilled his obligation."
BERAKOTH_chapter_4_3	"Over aught that does not grow from the earth he should say, [Blessed art thou …] by whose word all things exist. Over soured wine or unripe fallen fruits or over locusts he should say, … by whose word all things exist. R. Judah says: Over aught that is of the nature of a curse no Benediction should be said."
BERAKOTH_chapter_4_4	"When a man has before him many kinds [of food], R. Judah says: If there is among them one of the seven kinds, he must say the Benediction over that one. But the Sages say: He may say the Benediction over which of them he will."
BERAKOTH_chapter_4_5	If he said the Benediction over the wine before the meal he need not say it over the wine after the meal. If he said the Benediction over the savoury before the meal he need not say it over the savoury after the meal. If he said it over the bread he need not say it over the savoury; but if he said it over the savoury he is not exempt from saying it over the bread. The School of Shammai say: Or over aught that was cooked in the pot.
BERAKOTH_chapter_4_6	"If men sit [apart] to eat, each should say the Benediction for himself; if they reclined [around the table together] one should say the Benediction for all. If wine is brought to them during the meal each should say the Benediction for himself; but if after the meal, one should say the Benediction for all, and he, too, should say the Benediction over the burning spices even though they are brought in only after the meal is over."
BERAKOTH_chapter_4_7	"If salted relish was first brought before him together with bread he should say the Benediction over the salted relish and he need not say it over the bread, since the bread is but an accompaniment. This is the general rule: where there is a main food and aught that is but an accompaniment to it, the Benediction should be said over the main food and it need not be said over the accompaniment."
BERAKOTH_chapter_4_8	"If a man ate figs, grapes or pomegranates, he should say the three Benedictions after them. So Rabban Gamaliel. But the sages say: One Benediction, the substance of the three. R. Akiba says: Even if he ate but boiled vegetables for his meal he must say the three Benedictions after them. If he drank water to quench his thirst he should say, [Blessed art thou …] by whose word all things exist. R. Tarfon says: [He should say,] … who createst many living beings."
BERAKOTH_chapter_4_9	"If three ate together they must say the Common Grace. If one of them ate demai-produce, or First Tithe from which Heave-offering had been taken, or Second Tithe or dedicated produce that had been redeemed; if an attendant ate an olives bulk of food, or [if one that ate was] a Samaritan, they may be included [to make up the number needed] for the Common Grace. But if one of them ate produce that was certainly untithed, or First Tithe from which Heave-offering had not been taken, or Second Tithe or dedicated produce that had not been redeemed, or if a servant ate less than an olives bulk of food, or [if one that ate was] a gentile, they may not be included [to make up the number needed] for the Common Grace."
BERAKOTH_chapter_5_0	Women or slaves or minors may not be included [to make up the number needed] for the Common Grace. How much [should one eat] to be included [to make up the number needed] for the Common Grace? An olives bulk. R. Judah says: An eggs bulk.
BERAKOTH_chapter_5_1	"How do they say the Common Grace? If three are present, one says, We will bless [him of whose bounty we have partaken]; if three besides himself, he says, Bless ye [him of whose bounty …]; if ten are present, one says, We will bless our God [of whose bounty …]; if ten besides himself, he says, Bless ye [our God of whose bounty …]. It is all one whether there are ten or ten myriads. If a hundred are present, one says, We will bless the Lord our God …; if a hundred besides himself, he says, Bless ye [the Lord our God …]; if a thousand are present, one says, We will bless the Lord our God …]; if ten thousand are present, one says, We will bless the Lord our God, the God of Israel, the God of hosts, who sitteth between the Cherubim, for the food which we have eaten; if ten thousand besides himself, he says, Bless ye the Lord our God, the God of Israel, the God of hosts … After the fashion of his Benediction so do the others answer after him, Blessed be the Lord our God, the God of Israel, the God of hosts, who sitteth between the Cherubim, for the food which we have eaten. R. Jose the Galilean says: According to the multitude of the congregation do they frame the Benediction, as it is written, By congregations bless ye the Lord, ye that are from the fountain of Israel. R. Akiba said: What do we find in the synagogue?—it is all one whether they are many or few: they say, Bless ye the Lord. R. Ishmael says: [They say], Bless ye the Lord who is to be blessed."
BERAKOTH_chapter_5_2	"If three ate together they may not separate [without saying together the Common Grace]; so, too, if they are four or five. Six may separate [into groups of three to say the Common Grace], and so up to ten. But ten may not separate, and so up to twenty."
BERAKOTH_chapter_5_3	"If two groups ate in the one house and some of the one group were visible to some of the other group, they may be included together for the saying of the Common Grace; but if not, each group must say the Common Grace by itself. They do not say the Benediction over the wine until water has been added to it. So R. Eliezer. But the Sages say: They may say the Benediction [even over wine without water]."
BERAKOTH_chapter_5_4	These are the things wherein the School of Shammai and the School of Hillel differ in what concerns a meal. The School of Shammai say: [On a Sabbath or a Festival-day] they say the Benediction first over the day and then over the wine. And the School of Hillel say: They say the Benediction first over the wine and then over the day.
BERAKOTH_chapter_5_5	The School of Shammai say: They wash the hands and then mix the cup. And the School of Hillel say: They mix the cup and then wash the hands.
BERAKOTH_chapter_5_6	The School of Shammai say: A man wipes his hands with a napkin and lays it on the table. And the School of Hillel say: [He lays it] on the cushion.
BERAKOTH_chapter_5_7	The School of Shammai say: They sweep up the room and then wash the hands. And the School of Hillel say: They wash the hands and then sweep up the room.
BERAKOTH_chapter_5_8	"The School of Shammai say: [The order of saying the Benedictions at the outgoing of the Sabbath is] the lamp, the food, the spices and the Habdalah. And the School of Hillel say: The lamp, the spices, the food and the Habdalah. The School of Shammai say: [The Benediction over the lamp is, Blessed art thou] who didst create the light of fire. And the School of Hillel say: … who createst the lights of fire."
BERAKOTH_chapter_5_9	"No Benediction may be said over the lamp or the spices of gentiles, or over a lamp or spices used for the dead, or over a lamp or spices used for idolatry. No Benediction may be said over a lamp until one can enjoy its light."
BERAKOTH_chapter_6_0	"If a man ate and forgot to say the Benediction, the School of Shammai say: He must return to his place and say it. And the School of Hillel say: He may say it in the place where he remembers [his error]. Until what time may he say the Benediction? Until the food in his bowels is digested."
BERAKOTH_chapter_6_1	"If wine is brought after the food and there is but that one cup, the School of Shammai say: The Benediction is said over the wine and then over the food. And the School of Hillel say: The Benediction is said over the food and then over the wine. They may answer Amen after an Israelite who says a Benediction, but not after a Samaritan until they have heard the whole Benediction."
BERAKOTH_chapter_6_2	"If a man saw a place where miracles had been wrought for Israel he should say, Blessed is he that wrought miracles for our fathers in this place. [If he saw] a place from which idolatry had been rooted out he should say, Blessed is he that rooted out idolatry from our land."
BERAKOTH_chapter_6_3	"[If he saw] shooting stars, earthquakes, lightnings, thunders and storms he should say, Blessed is he whose power and might fill the world. [If he saw] mountains, hills, seas, rivers and deserts he should say, Blessed is the author of creation. R. Judah says: If a man saw the Great Sea he should say, Blessed is he that made the Great Sea, but only if he sees it at intervals of time. For rain and good tidings he should say, Blessed is he, the good and the doer of good. For bad tidings he should say, Blessed is he, the true Judge."
BERAKOTH_chapter_6_4	"If a man built a house or bought new vessels he should say, Blessed is he that hath given us life. A man should say the Benediction for misfortune regardless of [any consequent] good, and for good fortune regardless of [any consequent] evil. If a man cries out [to God] over what is past, his prayer is vain. Thus if his wife was with child and he said, May it be thy will that my wife shall bear a male, this prayer is vain. If he was returning from a journey and heard a sound of lamentation in the city and said, May it be thy will that they [which make lamentation] be not of my house, this prayer is vain."
BERAKOTH_chapter_6_5	"He that enters into a town should pray twice: once on his coming in and once on his going forth. Ben Azzai says: Four times: twice on his coming in and twice on his going forth, offering thanks for what is past and making supplication for what is still to come."
BERAKOTH_chapter_6_6	"Man is bound to bless [God] for the evil even as he blesses [God] for the good, for it is written, And thou shalt love the Lord thy God with all they heart and with all thy soul and with all thy might. With all thy heart (lebab)—with both thine impulses, thy good impulse and thine evil impulse; and with all thy soul—even if he take away thy soul; and with all thy might—with all thy wealth. Another explanation is: With all thy might (mĕodeka)—for whichever measure (middah o middah) he measures out to thee, do thou give him thanks (modeh) exceedingly (bimĕod mĕod)."
BERAKOTH_chapter_6_7	"man should not behave himself unseemly while opposite the Eastern Gate [of the Temple] since it faces toward the Holy of Holies. He may not enter into the Temple Mount with his staff or his sandal or his wallet, or with the dust upon his feet, nor may he make of it a short by-path; still less may he spit there."
BERAKOTH_chapter_6_8	"the close of every Benediction in the Temple they used to say, For everlasting; but after the heretics had taught corruptly and said that there is but one world, it was ordained that they should say, From everlasting to everlasting. And it was ordained that a man should salute his fellow with [the use of] the Name [of God]; for it is written, And, behold, Boaz came from Bethlehem, and said unto the reapers, The Lord be with you. And they answered him, The Lord bless thee. And it is written, The Lord is with thee, thou mighty man of valour. And it is written, And despise not thy mother when she is old. And it is written, It is time to work for the Lord: they have made void thy Law. R. Nathan says: They have made void thy Law because it was a time to work for the Lord."
BERAKOTH_chapter_6_9	"These are things for which no measure is prescribed: Peah, First-fruits, the Festal Offering, deeds of loving-kindness and the study of the Law. These are things whose fruits a man enjoys in this world while the capital is laid up for him in the world to come: honouring father and mother, deeds of loving-kindness, making peace between a man and his fellow; and the study of the Law is equal to them all."
BERAKOTH_chapter_7_0	"Peah should be not less than one-sixtieth part [of the harvest]. And although they have said that no measure is prescribed for Peah, it should ever accord with the size of the field and the number of the poor and the yield [of the harvest]."
BERAKOTH_chapter_7_1	"Peah may be left at the beginning of the field or at the middle thereof. R. Simeon says: Provided that the prescribed measure is left at the end. R. Judah says: If a man left behind [at the last] but a single stalk he can rely on that as fulfilling the law of Peah, and if he did not [leave aught at the end] what he leaves [at the beginning or the middle of the field] counts only as ownerless property."
BERAKOTH_chapter_7_2	A general rule have they enjoined concerning Peah: whatsoever is used for food and is kept watch over and grows from the soil and is all reaped together and is brought in for storage is liable to the law of Peah. Grain and pulse come within this general rule.
BERAKOTH_chapter_7_3	"Among trees, sumach, carob, walnut trees, almond trees, vines, pomegranate trees, olive trees, and palm trees are subject to the law of Peah."
BERAKOTH_chapter_7_4	"A man may continue to grant Peah [even after the crop has been reaped] and be exempt from giving tithe from it until it is finally stacked. He may grant [part of his crop] as ownerless property and be exempt from giving tithe from it until it is finally stacked. He may feed cattle, wild animals or birds with it and be exempt from giving tithe from it until it is finally stacked. He may take it from the threshing-floor and use it for seed and be exempt from giving tithe from it until it is finally stacked. So R. Akiba. If a priest or a levite bought [the grain while it lay on] a threshing-floor they may keep the Tithe, unless it had been finally stacked. If a man dedicated [his harvest to the Temple] and redeemed it, he is still liable to give Tithe from it, unless the [Temple] treasurer had finally stacked it."
BERAKOTH_chapter_7_5	"These serve as bounds in what concerns Peah: a river-bed or pond, a private or a public road, a public path or a private path that is in regular use during both the summer and the rainy season, fallow land and land newly broken up, and a different kind of crop. If a man cut young corn for fodder, [the part so reaped] acts as a bound. So R. Meir. But the Sages say: It does not act as a bound unless he ploughed it up [afresh]."
BERAKOTH_chapter_7_6	"If a water-channel [is so wide that the corn on either side] cannot be cut together, R. Judah says: It acts as a bound. If any hill top can be hoed with a mattock, even though the oxen cannot pass over with the plough, a single Peah is granted for the whole [field on both sides of the hill]."
BERAKOTH_chapter_7_7	"[These] all serve as bounds for sown crops, but a fence alone serves as a bound for [the Peah that is granted from] trees. If the branches of the trees [on either side of the fence] were intertwined, the fence does not serve as a bound, and a single Peah is granted for all [the trees on either side]."
BERAKOTH_chapter_7_8	"For all carob trees that are within sight of each other [a single Peah is granted even if fences intervene]. Rabban Gamaliel said: In my fathers house they used to grant Peah separately for their olive trees in each quarter [of the city], and for all carob trees that were within sight of each other. R. Eliezer the son of R. Zadok says in his name: [A single Peah] was granted for their carob trees also throughout the whole city."
BERAKOTH_chapter_7_9	"If a man sowed his field in one kind, even if he made up two threshing-floors he need grant but one Peah; if he had sown it in two kinds, even if he made up but one threshing-floor he must grant two Peahs. If he sowed his field in two kinds of wheat and made up one threshing-floor, he grants one Peah; but if two threshing-floors, he must grant two Peahs."
BERAKOTH_chapter_8_0	"It once happened that R. Simeon of Mizpah [thus] sowed [his field and came] before Rabban Gamaliel; and they went up to the Chamber of Hewn Stone to inquire. Nahum the Scrivener said: I have received a tradition from R. Measha, who received it from his father, who received it from the Zugoth, who received it from the Prophets as a Halakah given to Moses from Sinai, that if a man sowed his field in two kinds of wheat and made them up into one threshing-floor, he grants one Peah; but if two threshing-floors, he must grant two Peahs."
BERAKOTH_chapter_8_1	"If a field was reaped by gentiles or by robbers, or if ants nibbled the crop, or if wind or cattle broke it down, it is exempt from Peah. If the owner reaped half and thieves reaped [the remaining] half, it is exempt, since his liability to Peah applied [only] to [the half of the crop that he had left as] standing corn."
BERAKOTH_chapter_8_2	"If thieves reaped half and the owner reaped [the remaining] half, he must grant Peah from what he has reaped. If he reaped half and sold [the remaining] half, the buyer must grant Peah for the whole. If he reaped half and dedicated [the remaining] half, he that redeems it from the [Temple] treasurer must grant Peah for the whole."
BERAKOTH_chapter_8_3	"If between olive trees there were plots sown with grain, the School of Shammai say: Peah must be granted from every plot. And the School of Hillel say: From one for all. But they agree that if the ends of the rows [of corn] were confused, Peah is granted from one [plot] for all."
BERAKOTH_chapter_8_4	"If a man reaped his field in patches, leaving [unreaped] the unripe stems, R. Akiba says: He must grant Peah from every patch. But the Sages say: From one [patch] for all. The Sages agree with R. Akiba that if a man sowed dill or mustard seed in three separate places he must grant Peah from each."
BERAKOTH_chapter_8_5	"If he uprooted fresh onions for the market and suffered others to remain and dry for the store-chamber, he must grant Peah from these by themselves and Peah from these by themselves; so, too, with peas and so, too, with a vineyard. If he thinned them out he need grant [Peah] from what is left [only] according to the quantity that he has suffered to remain; but if he uprooted them from one place only he must grant Peah from what is left for the whole."
BERAKOTH_chapter_8_6	"Seed-onions are liable to Peah. But R. Jose declares them exempt. If plots of onions grew among vegetables, R. Jose says: Peah is granted from each. But the Sages say: From one for all."
BERAKOTH_chapter_8_7	"If [two] brothers [who were jointholders] separate, they must grant two Peahs; but if they become again jointholders they need grant but one Peah. If two persons bought a tree they need grant but one Peah; but if one bought the northern half and the other the southern half, each must grant Peah separately. If a man sold only the stems of the plants in his field [and not their soil], the buyer must grant Peah from each plant. R. Judah said: This applies if the owner of the field had kept back naught for himself; but if the owner of the field had kept back aught for himself he must grant Peah for the whole."
BERAKOTH_chapter_8_8	"R. Eliezer says: A quarter-kabs space of ground is subject to the law of Peah. R. Joshua says: [Ground] that will produce two seahs. R. Tarfon says: [Ground measuring] six handbreadths by six. R. Judah b. Bathyra says: [Ground large enough] to need two strokes of the sickle. And the Halakah is according to him. R. Akiba says: Any ground soever is subject to the laws of Peah and First-fruits; a prozbol can be written on its security, and in conjunction with it movable property can be acquired by money, by writ or by usucaption."
BERAKOTH_chapter_8_9	"If one that lay sick assigned his goods to others [as a gift] and kept back any land soever, [if he recovered] his gift remains valid; but if he had kept back no land soever his gift does not remain valid. If he assigned his goods to his children and assigned to his wife any land soever, she forfeits her Ketubah. R. Jose says: If she accepted [such an assignment] even though he did not indeed assign it to her, she forfeits her Ketubah."
BERAKOTH_chapter_9_0	"If a man assigned his goods to his slave, he becomes a freedman. If he kept back any land soever, he does not become a freedman. R. Simeon says: In either case he becomes a freedman unless the master says, Let all my goods be given to such-a-one, my slave, excepting one ten-thousandth part of them."
BERAKOTH_chapter_9_1	"Peah is granted from what is still joined to the ground. From trellised vines and date palms the householder fetches down [the fruit] and distributes it to the poor. R. Simeon says: So, too, with walnut trees. If even ninety-nine were in favour of Peah being distributed and but one was in favour of helping themselves, they must listen to him since he has spoken according to Halakah."
BERAKOTH_chapter_9_2	"But it is not so with trellised vines and date palms. If even ninety-nine were in favour of helping themselves and but one was in favour of Peah being distributed, they must listen to him since he has spoken according to Halakah."
BERAKOTH_chapter_9_3	"If one [of the poor] took part of the Peah and threw it over the rest, naught of it belongs to him. If he fell down upon it or spread his cloak over it,1 it must be taken away. And the same applies to Gleanings and the Forgotten Sheaf."
BERAKOTH_chapter_9_4	"They may not cut the Peah with sickles or uproot it with spades, lest they strike one another."
BERAKOTH_chapter_9_5	"[The poor may make] three searches during the day: in the morning, at midday, and at sunset. Rabban Gamaliel says: This is enjoined only lest they search less often. R. Akiba says: This is enjoined only lest they search more often. [The men] of Beth Namer used to reap their crops by the measuring-line and leave Peah from every furrow."
BERAKOTH_chapter_9_6	"If a gentile reaped his field and afterward became a proselyte he is exempt from [the law of] Gleanings, the Forgotten Sheaf and Peah. R. Judah declares him liable to the law of the Forgotten Sheaf, since that applies at the time of sheaf-binding."
BERAKOTH_chapter_9_7	"If a man dedicated his standing corn and redeemed it while [it was yet] standing corn, he is subject [to the law of the Forgotten Sheaf]. [If he dedicated it while it was] bound up in sheaves and redeemed it while [it was yet] bound up in sheaves, he is still subject [to the law of the Forgotten Sheaf]. [But if he dedicated it while it was yet] standing corn and redeemed it after it was bound up in sheaves, his crop is exempt, since at the time when it would have been liable it was exempt."
BERAKOTH_chapter_9_8	"In like manner if a man dedicated his produce before it had become liable to Tithes and then redeemed it, it is still liable [to Tithes]; if he dedicated it after it had become liable to Tithes and then redeemed it, it is still liable. But if he had dedicated it before it was ripe and it ripened in the charge of the [Temple] treasurer, and he afterward redeemed it, it is exempt [from Tithes], since at the time when it would have been liable it was exempt."
BERAKOTH_chapter_9_9	"If a man gathered up Peah and said, This is for the poor man such-a-one, R. Eliezer says: It belongs rightfully to such-a-one. But the Sages say: He must give it to the poor man that is found first. The Gleanings, Forgotten Sheaf and Peah [that have been taken by the poor from the field] of a gentile are liable to Tithes, unless he had declared them ownerless property."
PEAH_chapter_1_0	"What counts as Gleanings? Whatsoever drops down at the moment of reaping. If a reaper reaped an armful or plucked a handful, and a thorn pricked him and [what he held] fell from his hand to the ground, this belongs to the householder. [What falls from] within the hand or the sickle [belongs] to the poor; [what falls from] the back of the hand or the sickle [belongs] to the householder. [What falls from] the top of the hand or the sickle, R. Ishmael says: [It belongs] to the poor. R. Akiba says: To the householder."
PEAH_chapter_1_1	"[What is found in] ant-holes while the corn is still standing, belongs to the householder; after the reapers [have passed over them], what lies uppermost [in the ant-holes] belongs to the poor, and what is beneath belongs to the householder. R. Meir says: It belongs to the poor in either case, since Gleanings that are in doubt are deemed to be Gleanings."
PEAH_chapter_1_2	"If Gleanings have not been taken from beneath [a place where stands] a heap of corn, whatsoever touches the ground belongs to the poor. If the wind scattered the sheaves [over ground from which Gleanings have not been taken] they estimate what Gleanings the field was like to have yielded, and this they give to the poor. Rabban Simeon b. Gamaliel says: They give to the poor as much as the field would require for seed."
PEAH_chapter_1_3	"If the tip of an ear of corn left standing after the reaping touches the standing corn, and it can be reaped together with the standing corn, it belongs to the householder; otherwise it belongs to the poor. If an ear of corn belonging to the Gleanings was confused with corn that was stacked, the householder must tithe an ear of corn and give it to him. R. Eliezer said: But how can this poor man be given aught in exchange for what he has never possessed?—but, rather, the poor man is granted ownership in the whole heap, and then an ear of corn is tithed and given to him."
PEAH_chapter_1_4	They may not water the field with a pitcher [before Gleanings have been taken]. So R. Meir. But the Sages permit it because it is [still] possible [for the poor to receive their dues].
